date,tavg,has_snow,has_rain
2019-06-18,21.11111111111111,0,1
2019-06-19,20.0,0,1
2019-06-20,21.11111111111111,0,1
2019-06-21,21.944444444444443,0,1
2019-06-22,21.944444444444443,0,0
2019-06-23,24.72222222222222,0,0
2019-06-24,25.555555555555554,0,0
2019-06-25,26.11111111111111,0,1
2019-06-26,26.38888888888889,0,0
2019-06-27,27.22222222222222,0,0
2019-06-28,27.77777777777778,0,0
2019-06-29,29.444444444444443,0,1
2019-06-30,25.555555555555554,0,1
2019-07-01,25.27777777777778,0,0
2019-07-02,27.5,0,1
2019-07-03,27.22222222222222,0,0
2019-07-04,27.77777777777778,0,0
2019-07-05,25.833333333333332,0,0
2019-07-06,29.166666666666664,0,0
2019-07-07,26.11111111111111,0,0
2019-07-08,24.166666666666664,0,1
2019-07-09,26.666666666666664,0,0
2019-07-10,28.055555555555554,0,0
2019-07-11,26.666666666666664,0,1
2019-07-12,27.5,0,0
2019-07-13,26.944444444444443,0,0
2019-07-14,29.444444444444443,0,0
2019-07-15,26.944444444444443,0,0
2019-07-16,28.61111111111111,0,0
2019-07-17,28.88888888888889,0,1
2019-07-18,23.61111111111111,0,1
2019-07-19,28.333333333333332,0,0
2019-07-20,32.77777777777778,0,0
2019-07-21,33.05555555555556,0,1
2019-07-22,28.055555555555554,0,1
2019-07-23,22.5,0,1
2019-07-24,25.0,0,1
2019-07-25,26.11111111111111,0,0
2019-07-26,26.666666666666664,0,0
2019-07-27,27.22222222222222,0,0
2019-07-28,28.88888888888889,0,0
2019-07-29,29.72222222222222,0,0
2019-07-30,31.11111111111111,0,0
2019-07-31,27.22222222222222,0,1
2019-08-01,26.944444444444443,0,0
2019-08-02,26.944444444444443,0,0
2019-08-03,26.38888888888889,0,1
2019-08-04,26.38888888888889,0,0
2019-08-05,24.444444444444443,0,0
2019-08-06,25.27777777777778,0,0
2019-08-07,25.833333333333332,0,1
2019-08-08,27.22222222222222,0,1
2019-08-09,26.38888888888889,0,0
2019-08-10,24.72222222222222,0,0
2019-08-11,24.166666666666664,0,0
2019-08-12,26.944444444444443,0,0
2019-08-13,25.27777777777778,0,1
2019-08-14,25.27777777777778,0,0
2019-08-15,25.833333333333332,0,0
2019-08-16,24.72222222222222,0,0
2019-08-17,26.38888888888889,0,0
2019-08-18,28.055555555555554,0,1
2019-08-19,28.88888888888889,0,0
2019-08-20,28.055555555555554,0,0
2019-08-21,29.166666666666664,0,1
2019-08-22,27.77777777777778,0,1
2019-08-23,21.666666666666668,0,1
2019-08-24,21.38888888888889,0,0
2019-08-25,21.944444444444443,0,0
2019-08-26,19.72222222222222,0,0
2019-08-27,21.38888888888889,0,0
2019-08-28,22.5,0,1
2019-08-29,24.72222222222222,0,0
2019-08-30,26.38888888888889,0,0
2019-08-31,24.72222222222222,0,0
2019-09-01,21.944444444444443,0,0
2019-09-02,23.61111111111111,0,1
2019-09-03,24.166666666666664,0,0
2019-09-04,26.38888888888889,0,0
2019-09-05,20.833333333333332,0,0
2019-09-06,18.055555555555554,0,1
2019-09-07,19.72222222222222,0,0
2019-09-08,22.77777777777778,0,0
2019-09-09,21.944444444444443,0,0
2019-09-10,22.77777777777778,0,0
2019-09-11,26.944444444444443,0,0
2019-09-12,23.055555555555554,0,1
2019-09-13,19.166666666666668,0,0
2019-09-14,21.38888888888889,0,0
2019-09-15,25.555555555555554,0,0
2019-09-16,23.055555555555554,0,0
2019-09-17,21.666666666666668,0,0
2019-09-18,17.77777777777778,0,0
2019-09-19,16.944444444444443,0,0
2019-09-20,20.833333333333332,0,0
2019-09-21,23.61111111111111,0,0
2019-09-22,25.0,0,0
2019-09-23,27.22222222222222,0,1
2019-09-24,21.944444444444443,0,0
2019-09-25,21.38888888888889,0,0
2019-09-26,23.61111111111111,0,0
2019-09-27,21.38888888888889,0,0
2019-09-28,23.333333333333332,0,0
2019-09-29,22.5,0,0
2019-09-30,19.166666666666668,0,0
2019-10-01,22.77777777777778,0,0
