,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,longitude,latitude
187,188,0.0977983968367,0.000313003032771,Prospect-Lefferts Gardens,188,Brooklyn,999573.0659581572,178767.67320045084
188,189,0.0486743306502,0.000101427594033,Prospect Heights,189,Brooklyn,993090.8334981576,186007.77666310966
189,190,0.0743294660829,0.000270873666522,Prospect Park,190,Brooklyn,992408.7235306427,179967.9648559466
190,191,0.130932637664,0.000688460603185,Queens Village,191,Queens,1055772.6976679787,199492.48887859285
191,192,0.11196461971,0.000373808019026,Queensboro Hill,192,Queens,1035456.7267698422,210539.50024382025
192,193,0.0655299584801,0.000145591657944,Queensbridge/Ravenswood,193,Queens,1000208.6815370172,216823.90490688384
193,194,0.0817938353532,0.000273481702719,Randalls Island,194,Manhattan,1005038.2108495086,227635.43670270592
194,195,0.131308244067,0.000801651953985,Red Hook,195,Brooklyn,981674.4593701288,185365.9145390764
195,196,0.0832421106332,0.0001974713336,Rego Park,196,Queens,1021478.761355497,202973.0801998973
196,197,0.108568532229,0.000504689160432,Richmond Hill,197,Queens,1031376.1097837016,191679.55171199143
197,198,0.134094242763,0.000499809882564,Ridgewood,198,Queens,1011745.0804314837,196001.89252338558
198,199,0.0778085005169,0.000288747549303,Rikers Island,199,Bronx,1016979.0615202487,227864.85203447193
199,200,0.112661735435,0.000744643168558,Riverdale/North Riverdale/Fieldston,200,Bronx,1009554.2064572871,267213.13625437766
200,201,0.130404117686,0.000619350747819,Rockaway Park,201,Queens,1028407.4317512065,149686.85959354043
201,202,0.0699215712618,0.000106175396322,Roosevelt Island,202,Manhattan,997876.4587325379,216599.24384187162
202,203,0.189937815868,0.000615129861659,Rosedale,203,Queens,1055127.6851912066,179575.0209010765
203,204,0.101912418311,0.000641384265972,Rossville/Woodrow,204,Staten Island,926847.3985709846,136363.44018059224
204,205,0.141953388327,0.000766216513505,Saint Albans,205,Queens,1049852.8950335234,191369.26846130192
205,206,0.212756793386,0.000944392507762,Saint George/New Brighton,206,Staten Island,956313.9137515649,171000.598320283
206,207,0.0283756831492,4.47230848441e-05,Saint Michaels Cemetery/Woodside,207,Queens,1012357.1575923413,217464.718997851
207,208,0.214721009581,0.00202032598969,Schuylerville/Edgewater Park,208,Bronx,1035126.7586059645,239783.81794329733
208,209,0.0306953113473,3.88703351209e-05,Seaport,209,Manhattan,983105.4159870967,197393.18999262154
209,210,0.114851983372,0.000453155131253,Sheepshead Bay,210,Brooklyn,1001136.5882668421,155608.99498346448
210,211,0.0252345082132,3.97291966087e-05,SoHo,211,Manhattan,983950.1105011255,202945.97421944886
211,212,0.0671290653429,0.000161276191858,Soundview/Bruckner,212,Bronx,1020117.6581599116,241071.3120777309
