locationID,Borough,Zone,service_zone,count,0_tip_ratio
166,Manhattan,Morningside Heights,Boro Zone,1929.0,0.0550780915398452
209,Manhattan,Seaport,Yellow Zone,754.0,0.0510183368292848
189,Brooklyn,Prospect Heights,Boro Zone,210.0,0.0502272183688112
100,Manhattan,Garment District,Yellow Zone,2046.0,0.0491330867873781
137,Manhattan,Kips Bay,Yellow Zone,2566.0,0.0475211585828842
24,Manhattan,Bloomingdale,Yellow Zone,760.0,0.0470792293873505
181,Brooklyn,Park Slope,Boro Zone,688.0,0.0461033304295383
145,Queens,Long Island City/Hunters Point,Boro Zone,633.0,0.0459828563126543
148,Manhattan,Lower East Side,Yellow Zone,2002.0,0.0457987326424633
132,Queens,JFK Airport,Airports,7390.0,0.0448552976595124
50,Manhattan,Clinton West,Yellow Zone,1618.0,0.0444627644957405
151,Manhattan,Manhattan Valley,Yellow Zone,1828.0,0.0439676736578795
88,Manhattan,Financial District South,Yellow Zone,1062.0,0.0435067595247849
33,Brooklyn,Brooklyn Heights,Boro Zone,681.0,0.042237796936054
48,Manhattan,Clinton East,Yellow Zone,3948.0,0.0405863848510393
68,Manhattan,East Chelsea,Yellow Zone,3093.0,0.0405203584342084
256,Brooklyn,Williamsburg (South Side),Boro Zone,374.0,0.0403713298791019
261,Manhattan,World Trade Center,Yellow Zone,996.0,0.040156432689594
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,373.0,0.0386768975528826
230,Manhattan,Times Sq/Theatre District,Yellow Zone,3213.0,0.037597856231789
186,Manhattan,Penn Station/Madison Sq West,Yellow Zone,2903.0,0.0373895571984235
246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,2137.0,0.035283240048211
164,Manhattan,Midtown South,Yellow Zone,2065.0,0.0336083850072424
79,Manhattan,East Village,Yellow Zone,3131.0,0.0330270777734412
112,Brooklyn,Greenpoint,Boro Zone,312.0,0.0325542570951586
163,Manhattan,Midtown North,Yellow Zone,2047.0,0.0324313191165753
107,Manhattan,Gramercy,Yellow Zone,2568.0,0.031970917420913
170,Manhattan,Murray Hill,Yellow Zone,3134.0,0.0314494440653474
238,Manhattan,Upper West Side North,Yellow Zone,2902.0,0.0314320993003054
144,Manhattan,Little Italy/NoLiTa,Yellow Zone,901.0,0.0312521678806798
87,Manhattan,Financial District North,Yellow Zone,1519.0,0.0311225848751203
231,Manhattan,TriBeCa/Civic Center,Yellow Zone,2200.0,0.0307774093815139
43,Manhattan,Central Park,Yellow Zone,1402.0,0.0307132842621801
90,Manhattan,Flatiron,Yellow Zone,1802.0,0.0306859205776173
140,Manhattan,Lenox Hill East,Yellow Zone,2141.0,0.0304712295233622
143,Manhattan,Lincoln Square West,Yellow Zone,1370.0,0.0303191253928207
114,Manhattan,Greenwich Village South,Yellow Zone,1167.0,0.0294696969696969
263,Manhattan,Yorkville West,Yellow Zone,2852.0,0.0293760171394433
224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,366.0,0.0292285577383804
158,Manhattan,Meatpacking/West Village West,Yellow Zone,1117.0,0.0291310244105987
113,Manhattan,Greenwich Village North,Yellow Zone,1262.0,0.0276954813790681
255,Brooklyn,Williamsburg (North Side),Boro Zone,380.0,0.0276202936473324
234,Manhattan,Union Sq,Yellow Zone,2281.0,0.0274716672086329
161,Manhattan,Midtown Center,Yellow Zone,2586.0,0.0271310916434978
233,Manhattan,UN/Turtle Bay South,Yellow Zone,1578.0,0.0271213240981042
138,Queens,LaGuardia Airport,Airports,4218.0,0.0265107947581785
142,Manhattan,Lincoln Square East,Yellow Zone,2500.0,0.0255245290724386
249,Manhattan,West Village,Yellow Zone,1759.0,0.0254396621543445
162,Manhattan,Midtown East,Yellow Zone,2786.0,0.0254090436495631
211,Manhattan,SoHo,Yellow Zone,597.0,0.024704129769097
13,Manhattan,Battery Park City,Yellow Zone,1307.0,0.0244111988943053
40,Brooklyn,Carroll Gardens,Boro Zone,166.0,0.0240754169688179
125,Manhattan,Hudson Sq,Yellow Zone,520.0,0.0240295748613678
229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,1725.0,0.0237911345267977
141,Manhattan,Lenox Hill West,Yellow Zone,2309.0,0.0234069298298968
52,Brooklyn,Cobble Hill,Boro Zone,132.0,0.0231335436382754
237,Manhattan,Upper East Side South,Yellow Zone,2400.0,0.0224773821342274
236,Manhattan,Upper East Side North,Yellow Zone,2984.0,0.0221718616487721
239,Manhattan,Upper West Side South,Yellow Zone,2328.0,0.0220125191474876
262,Manhattan,Yorkville East,Yellow Zone,1144.0,0.020540443486848
